price,points,country,province,price_per_country_mean,price_per_country_mean_diff,price_per_country_median,price_per_country_median_diff,price_per_province_mean,price_per_province_mean_diff,price_per_province_median,price_per_province_median_diff,points_per_country_mean,points_per_country_median,points_per_province_mean,points_per_province_median
35.317716747442105,93,France,Alsace,40.08589605462504,-4.768179307182933,30.0,5.317716747442105,28.822254858765376,6.495461888676729,25.0,10.317716747442105,88.80617372577171,89.0,89.33939393939394,89.0
20.0,90,US,California,36.23818813834525,-16.23818813834525,30.0,-10.0,38.68686189197347,-18.68686189197347,33.0,-13.0,88.59421613394215,88.0,88.67250115154307,89.0
35.0,87,US,California,36.23818813834525,-1.2381881383452509,30.0,5.0,38.68686189197347,-3.6868618919734715,33.0,2.0,88.59421613394215,88.0,88.67250115154307,89.0
32.0,86,US,California,36.23818813834525,-4.238188138345251,30.0,2.0,38.68686189197347,-6.6868618919734715,33.0,-1.0,88.59421613394215,88.0,88.67250115154307,89.0
48.0,94,US,California,36.23818813834525,11.76181186165475,30.0,18.0,38.68686189197347,9.313138108026529,33.0,15.0,88.59421613394215,88.0,88.67250115154307,89.0
7.0,85,US,California,36.23818813834525,-29.23818813834525,30.0,-23.0,38.68686189197347,-31.68686189197347,33.0,-26.0,88.59421613394215,88.0,88.67250115154307,89.0
18.0,85,Austria,Burgenland,30.039645319991028,-12.039645319991028,29.0,-11.0,29.28873855681206,-11.28873855681206,26.0,-8.0,90.11650485436893,90.0,89.54166666666667,90.0
19.0,88,Spain,Northern Spain,25.583870843967777,-6.583870843967777,18.0,1.0,26.051110857873205,-7.051110857873205,18.0,1.0,87.06388206388206,87.0,86.95850622406638,87.0
20.0,89,Italy,Piedmont,39.645133428557564,-19.645133428557564,34.5,-14.5,50.02047247781605,-30.02047247781605,40.0,-20.0,88.64735945485519,88.0,89.5,89.0
13.0,88,Italy,Northeastern Italy,39.645133428557564,-26.645133428557564,34.5,-21.5,26.863261671016115,-13.863261671016115,23.5,-10.5,88.64735945485519,88.0,88.0,88.0
11.0,86,US,Washington,36.23818813834525,-25.23818813834525,30.0,-19.0,32.15239425095908,-21.152394250959077,28.0,-17.0,88.59421613394215,88.0,88.8546511627907,89.0
61.0,94,France,Champagne,40.08589605462504,20.91410394537496,30.0,31.0,87.33810436891983,-26.33810436891983,60.0,1.0,88.80617372577171,89.0,89.86915887850468,89.0
60.0,88,US,California,36.23818813834525,23.76181186165475,30.0,30.0,38.68686189197347,21.31313810802653,33.0,27.0,88.59421613394215,88.0,88.67250115154307,89.0
12.0,86,Chile,Cachapoal Valley,21.41172502899278,-9.41172502899278,15.0,-3.0,26.307692307692307,-14.307692307692307,20.0,-8.0,86.56313993174061,87.0,87.53846153846153,86.0
25.0,84,Chile,Aconcagua Valley,21.41172502899278,3.5882749710072197,15.0,10.0,45.05295279124035,-20.05295279124035,30.158858373721053,-5.158858373721053,86.56313993174061,87.0,87.66666666666667,86.5
10.0,85,Italy,Northeastern Italy,39.645133428557564,-29.645133428557564,34.5,-24.5,26.863261671016115,-16.863261671016115,23.5,-13.5,88.64735945485519,88.0,88.0,88.0
35.0,87,US,California,36.23818813834525,-1.2381881383452509,30.0,5.0,38.68686189197347,-3.6868618919734715,33.0,2.0,88.59421613394215,88.0,88.67250115154307,89.0
20.0,87,France,France Other,40.08589605462504,-20.08589605462504,30.0,-10.0,17.665465390828878,2.334534609171122,15.0,5.0,88.80617372577171,89.0,86.53846153846153,86.0
34.0,92,Austria,Burgenland,30.039645319991028,3.9603546800089724,29.0,5.0,29.28873855681206,4.71126144318794,26.0,8.0,90.11650485436893,90.0,89.54166666666667,90.0
15.0,86,US,California,36.23818813834525,-21.23818813834525,30.0,-15.0,38.68686189197347,-23.68686189197347,33.0,-18.0,88.59421613394215,88.0,88.67250115154307,89.0
15.0,89,Spain,Northern Spain,25.583870843967777,-10.583870843967777,18.0,-3.0,26.051110857873205,-11.051110857873205,18.0,-3.0,87.06388206388206,87.0,86.95850622406638,87.0
18.0,88,Italy,Veneto,39.645133428557564,-21.645133428557564,34.5,-16.5,34.6926756603655,-16.692675660365502,24.5,-6.5,88.64735945485519,88.0,88.13636363636364,88.0
100.0,93,US,California,36.23818813834525,63.76181186165475,30.0,70.0,38.68686189197347,61.31313810802653,33.0,67.0,88.59421613394215,88.0,88.67250115154307,89.0
14.0,85,US,California,36.23818813834525,-22.23818813834525,30.0,-16.0,38.68686189197347,-24.68686189197347,33.0,-19.0,88.59421613394215,88.0,88.67250115154307,89.0
25.0,81,Italy,Sicily & Sardinia,39.645133428557564,-14.645133428557564,34.5,-9.5,30.262868636953975,-5.262868636953975,28.5,-3.5,88.64735945485519,88.0,88.15686274509804,88.0
21.0,87,Argentina,Mendoza Province,23.45132060431057,-2.4513206043105704,16.5,4.5,23.980940757619585,-2.980940757619585,17.0,4.0,86.48425196850394,86.0,86.60698689956332,86.0
50.0,87,US,California,36.23818813834525,13.76181186165475,30.0,20.0,38.68686189197347,11.313138108026529,33.0,17.0,88.59421613394215,88.0,88.67250115154307,89.0
35.317716747442105,91,France,Loire Valley,40.08589605462504,-4.768179307182933,30.0,5.317716747442105,27.215918147549825,8.10179859989228,25.0,10.317716747442105,88.80617372577171,89.0,88.408,88.0
41.0,89,Canada,British Columbia,36.90104216161424,4.098957838385758,38.0,3.0,39.487847783162806,1.512152216837194,38.0,3.0,89.41176470588235,89.0,89.4,89.0
13.0,83,US,New Jersey,36.23818813834525,-23.23818813834525,30.0,-17.0,13.0,0.0,13.0,0.0,88.59421613394215,88.0,83.0,83.0
15.0,83,US,Washington,36.23818813834525,-21.23818813834525,30.0,-15.0,32.15239425095908,-17.152394250959077,28.0,-13.0,88.59421613394215,88.0,88.8546511627907,89.0
95.0,94,US,Oregon,36.23818813834525,58.76181186165475,30.0,65.0,36.54054054054054,58.45945945945946,30.0,65.0,88.59421613394215,88.0,89.21321321321321,89.0
22.0,86,Portugal,Tejo,31.774150564134438,-9.774150564134438,20.0,2.0,18.76270407292118,3.2372959270788186,15.0,7.0,88.33633633633633,88.0,87.34146341463415,87.0
85.0,90,France,Burgundy,40.08589605462504,44.91410394537496,30.0,55.0,62.98597286639918,22.01402713360082,35.317716747442105,49.682283252557895,88.80617372577171,89.0,89.5241935483871,89.0
80.0,90,Portugal,Port,31.774150564134438,48.22584943586556,20.0,60.0,75.49531502423267,4.504684975767333,35.317716747442105,44.682283252557895,88.33633633633633,88.0,90.15,90.0
34.0,87,France,Burgundy,40.08589605462504,-6.085896054625039,30.0,4.0,62.98597286639918,-28.98597286639918,35.317716747442105,-1.3177167474421054,88.80617372577171,89.0,89.5241935483871,89.0
14.0,86,US,California,36.23818813834525,-22.23818813834525,30.0,-16.0,38.68686189197347,-24.68686189197347,33.0,-19.0,88.59421613394215,88.0,88.67250115154307,89.0
15.0,88,Chile,Chile,21.41172502899278,-6.41172502899278,15.0,0.0,22.0,-7.0,19.5,-4.5,86.56313993174061,87.0,87.25,88.5
16.0,86,Spain,Galicia,25.583870843967777,-9.583870843967777,18.0,-2.0,20.0,-4.0,18.5,-2.5,87.06388206388206,87.0,88.21428571428571,88.5
26.0,85,US,New York,36.23818813834525,-10.23818813834525,30.0,-4.0,21.666666666666668,4.333333333333332,20.0,6.0,88.59421613394215,88.0,87.01785714285714,87.0
103.0,92,France,Burgundy,40.08589605462504,62.91410394537496,30.0,73.0,62.98597286639918,40.01402713360082,35.317716747442105,67.6822832525579,88.80617372577171,89.0,89.5241935483871,89.0
15.0,86,US,California,36.23818813834525,-21.23818813834525,30.0,-15.0,38.68686189197347,-23.68686189197347,33.0,-18.0,88.59421613394215,88.0,88.67250115154307,89.0
49.0,86,US,California,36.23818813834525,12.76181186165475,30.0,19.0,38.68686189197347,10.313138108026529,33.0,16.0,88.59421613394215,88.0,88.67250115154307,89.0
50.0,90,US,California,36.23818813834525,13.76181186165475,30.0,20.0,38.68686189197347,11.313138108026529,33.0,17.0,88.59421613394215,88.0,88.67250115154307,89.0
18.0,88,Italy,Southern Italy,39.645133428557564,-21.645133428557564,34.5,-16.5,28.54800019581926,-10.54800019581926,20.5,-2.5,88.64735945485519,88.0,87.94318181818181,88.0
60.0,94,Italy,Piedmont,39.645133428557564,20.354866571442436,34.5,25.5,50.02047247781605,9.97952752218395,40.0,20.0,88.64735945485519,88.0,89.5,89.0
35.317716747442105,89,Italy,Sicily & Sardinia,39.645133428557564,-4.327416681115459,34.5,0.8177167474421054,30.262868636953975,5.05484811048813,28.5,6.817716747442105,88.64735945485519,88.0,88.15686274509804,88.0
95.0,91,Australia,Victoria,33.75182481751825,61.24817518248175,22.0,73.0,42.54545454545455,52.45454545454545,31.0,64.0,88.67883211678833,89.0,88.86363636363636,88.0
35.0,89,US,Oregon,36.23818813834525,-1.2381881383452509,30.0,5.0,36.54054054054054,-1.5405405405405403,30.0,5.0,88.59421613394215,88.0,89.21321321321321,89.0
12.0,85,US,California,36.23818813834525,-24.23818813834525,30.0,-18.0,38.68686189197347,-26.68686189197347,33.0,-21.0,88.59421613394215,88.0,88.67250115154307,89.0
77.0,89,US,California,36.23818813834525,40.76181186165475,30.0,47.0,38.68686189197347,38.31313810802653,33.0,44.0,88.59421613394215,88.0,88.67250115154307,89.0
55.0,86,US,California,36.23818813834525,18.76181186165475,30.0,25.0,38.68686189197347,16.31313810802653,33.0,22.0,88.59421613394215,88.0,88.67250115154307,89.0
25.0,91,Italy,Tuscany,39.645133428557564,-14.645133428557564,34.5,-9.5,47.502078681100365,-22.502078681100365,35.317716747442105,-10.317716747442105,88.64735945485519,88.0,89.08587257617728,89.0
14.0,83,Chile,Colchagua Valley,21.41172502899278,-7.41172502899278,15.0,-1.0,18.846153846153847,-4.846153846153847,14.0,0.0,86.56313993174061,87.0,87.1923076923077,87.0
35.317716747442105,84,US,Virginia,36.23818813834525,-0.9204713909031454,30.0,5.317716747442105,29.527452432238377,5.7902643152037285,28.0,7.317716747442105,88.59421613394215,88.0,85.79166666666667,86.0
38.0,90,US,California,36.23818813834525,1.7618118616547491,30.0,8.0,38.68686189197347,-0.6868618919734715,33.0,5.0,88.59421613394215,88.0,88.67250115154307,89.0
25.0,88,Spain,Northern Spain,25.583870843967777,-0.5838708439677767,18.0,7.0,26.051110857873205,-1.051110857873205,18.0,7.0,87.06388206388206,87.0,86.95850622406638,87.0
25.0,86,US,New York,36.23818813834525,-11.23818813834525,30.0,-5.0,21.666666666666668,3.333333333333332,20.0,5.0,88.59421613394215,88.0,87.01785714285714,87.0
21.0,88,France,Loire Valley,40.08589605462504,-19.08589605462504,30.0,-9.0,27.215918147549825,-6.215918147549825,25.0,-4.0,88.80617372577171,89.0,88.408,88.0
26.0,90,France,Provence,40.08589605462504,-14.085896054625039,30.0,-4.0,25.354167827233397,0.6458321727666032,23.0,3.0,88.80617372577171,89.0,88.45977011494253,89.0
58.0,92,US,California,36.23818813834525,21.76181186165475,30.0,28.0,38.68686189197347,19.31313810802653,33.0,25.0,88.59421613394215,88.0,88.67250115154307,89.0
15.0,85,US,California,36.23818813834525,-21.23818813834525,30.0,-15.0,38.68686189197347,-23.68686189197347,33.0,-18.0,88.59421613394215,88.0,88.67250115154307,89.0
44.0,91,Canada,British Columbia,36.90104216161424,7.098957838385758,38.0,6.0,39.487847783162806,4.512152216837194,38.0,6.0,89.41176470588235,89.0,89.4,89.0
